hector_component, hector_variable, hector_unit, hector_udunits, rcmip_variable, rcmip_units, rcmip_udunits
# NF3_halocarbon,NF3_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|NF3, ppt, ppt
# HFC236fa_halocarbon,HFC236fa_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|HFC|HFC236fa, ppt, ppt
# HFC152a_halocarbon,HFC152a_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|HFC|HFC152a, ppt, ppt
# CH2Cl2_halocarbon,CH2Cl2_concentration, ppt, ppt,Atmospheric Concentrations|Montreal Gases|CH2Cl2, ppt, ppt
# C3F8_halocarbon,C3F8_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|C3F8, ppt, ppt
# C4F10_halocarbon,C4F10_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|C4F10, ppt, ppt
# C5F12_halocarbon,C5F12_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|C5F12, ppt, ppt
# C6F14_halocarbon,C6F14_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|C6F14, ppt, ppt
# C7F16_halocarbon,C7F16_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|C7F16, ppt, ppt
# C8F18_halocarbon,C8F18_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|C8F18, ppt, ppt
# cC4F8_halocarbon,cC4F8_concentration, ppt, ppt,Atmospheric Concentrations|F-Gases|PFC|cC4F8, ppt, ppt
# CHCl3_halocarbon,CHCl3_concentration, ppt, ppt,Atmospheric Concentrations|Montreal Gases|CHCl3, ppt, ppt
# HCFC141b_halocarbon,HCFC141b_concentration, ppt, ppt,Atmospheric Concentrations|Montreal Gases|HCFC141b, ppt, ppt
# HCFC142b_halocarbon, HCFC142b_concentration, ppt, ppt,Atmospheric Concentrations|Montreal Gases|HCFC142b, ppt, ppt
# HCFC22_halocarbon,HCFC22_concentration, ppt, ppt,Atmospheric Concentrations|Montreal Gases|HCFC22, ppt, ppt
# HFC152a_halocarbon,HFC152a_emissions, ppt, ppt,Emissions|F-Gases|HFC|HFC152a, ppt, ppt
# HFC236fa_halocarbon,HFC236fa_emissions, ppt, ppt,Emissions|F-Gases|HFC|HFC236fa, ppt, ppt
# NF3_halocarbon,NF3_emissions, ppt, ppt,Emissions|F-Gases|NF3, ppt, ppt
# C3F8_halocarbon,C3F8_emissions, ppt, ppt,Emissions|F-Gases|PFC|C3F8, ppt, ppt
# C4F10_halocarbon,C4F10_emissions, ppt, ppt,Emissions|F-Gases|PFC|C4F10, ppt, ppt
# C5F12_halocarbon,C5F12_emissions, ppt, ppt,Emissions|F-Gases|PFC|C5F12, ppt, ppt
# C6F14_halocarbon,C6F14_emissions, ppt, ppt,Emissions|F-Gases|PFC|C6F14, ppt, ppt
# C7F16_halocarbon,C7F16_emissions, ppt, ppt,Emissions|F-Gases|PFC|C7F16, ppt, ppt
# C8F18_halocarbon,C8F18_emissions, ppt, ppt,Emissions|F-Gases|PFC|C8F18, ppt, ppt
# cC4F8_halocarbon,cC4F8_emissions, ppt, ppt,Emissions|F-Gases|PFC|cC4F8, ppt, ppt
# SO2F2_halocarbon,SO2F2_emissions, ppt, ppt,Emissions|F-Gases|SO2F2, ppt, ppt
# CHCl3_halocarbon,CHCl3_emissions, ppt, ppt,Emissions|Montreal Gases|CHCl3, ppt, ppt
# CH2Cl2_halocarbon,CH2Cl2_emissions, ppt, ppt,Emissions|Montreal Gases|CH2Cl2, ppt, ppt
# HCFC141b_halocarbon, HCFC141b_emissions, ppt, ppt,Emissions|Montreal Gases|HCFC141b, ppt, ppt
# HCFC142b_halocarbon,HCFC142b_emissions, ppt, ppt,Emissions|Montreal Gases|HCFC142b, ppt, ppt
# HCFC22_halocarbon,HCFC22_emissions, ppt, ppt,Emissions|Montreal Gases|HCFC22, ppt, ppt
